Gen:0 
0.9421983379365717:[0.22366357608605938, 0.45500957243139756, 0.26352518941911474]
0.8843194690660807:[0.17532396071202574, 0.4706597380496551, 0.23833577030439984]
1.2394628277168203:[0.15869948001210554, 0.7274136202023885, 0.3533497275023262]
0.9610525861480618:[0.20778193523537017, 0.5291579299237245, 0.22411272098896717]
1.1933683612486992:[0.2419938371805101, 0.7432461178472666, 0.2081284062209225]
0.9464254907709966:[0.2057253693564806, 0.45500957243139756, 0.28569054898311846]

Gen:20 
0.9154422569460965:[0.20692904503810494, 0.47084207007627554, 0.23767114183171606]
0.8843194690660807:[0.17532396071202574, 0.4706597380496551, 0.23833577030439984]
1.2394628277168203:[0.15869948001210554, 0.7274136202023885, 0.3533497275023262]
0.9566729584637388:[0.19583459432690456, 0.45500957243139756, 0.30582879170543664]
0.9610525861480618:[0.20778193523537017, 0.5291579299237245, 0.22411272098896717]
1.1933683612486992:[0.2419938371805101, 0.7432461178472666, 0.2081284062209225]
0.9140779734513695:[0.21853935675571573, 0.45500957243139756, 0.24052904426425628]
0.9464254907709966:[0.2057253693564806, 0.45500957243139756, 0.28569054898311846]

Gen:21 
0.9154422569460965:[0.20692904503810494, 0.47084207007627554, 0.23767114183171606]
0.8843194690660807:[0.17532396071202574, 0.4706597380496551, 0.23833577030439984]
1.2394628277168203:[0.15869948001210554, 0.7274136202023885, 0.3533497275023262]
0.9566729584637388:[0.19583459432690456, 0.45500957243139756, 0.30582879170543664]
0.9610525861480618:[0.20778193523537017, 0.5291579299237245, 0.22411272098896717]
1.1933683612486992:[0.2419938371805101, 0.7432461178472666, 0.2081284062209225]
0.9140779734513695:[0.21853935675571573, 0.45500957243139756, 0.24052904426425628]
0.9464254907709966:[0.2057253693564806, 0.45500957243139756, 0.28569054898311846]

Gen:22 
0.9154422569460965:[0.20692904503810494, 0.47084207007627554, 0.23767114183171606]
0.8843194690660807:[0.17532396071202574, 0.4706597380496551, 0.23833577030439984]
1.2394628277168203:[0.15869948001210554, 0.7274136202023885, 0.3533497275023262]
0.9566729584637388:[0.19583459432690456, 0.45500957243139756, 0.30582879170543664]
